City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
220,sable-sur-sarthe,47.8376,-0.3329,73.65,59,89,12.91,FR,1690401730
221,kruisfontein,-34.0033,24.7314,56.88,66,100,6.06,ZA,1690401444
222,vilhena,-12.7406,-60.1458,89.82,35,40,10.36,BR,1690401730
223,cockburn town,21.4612,-71.1419,83.66,82,64,20.33,TC,1690401730
224,minas de marcona,-15.2119,-75.1103,61.25,66,14,18.12,PE,1690401431
225,ancud,-41.8697,-73.8203,48.74,79,100,4.14,CL,1690401731
226,touros,-5.1989,-35.4608,79.34,75,14,16.87,BR,1690401502
227,lake charles,30.2131,-93.2044,96.03,54,40,4.61,US,1690401729
228,sao felix do xingu,-6.6447,-51.995,97.11,23,0,3.27,BR,1690401657
229,tulun,54.5611,100.5792,55.69,94,65,3.78,RU,1690401731
230,wotho,10.1657,166.0102,82.31,80,100,16.11,MH,1690401731
231,lerwick,60.1545,-1.1494,53.6,79,9,7.18,GB,1690401731
232,greenland,43.0362,-70.8328,90.48,55,2,1.99,US,1690401731
233,biltine,14.5333,20.9167,86.4,49,90,16.53,TD,1690401732
234,port elizabeth,-33.918,25.5701,62.89,77,0,10.36,ZA,1690401732
235,kijang,35.2442,129.2139,74.93,86,21,4.25,KR,1690401732
236,alamosa,37.4695,-105.87,87.78,16,0,4.61,US,1690401725
237,usogorsk,63.4106,48.6872,58.24,75,92,4.72,RU,1690401733
238,flin flon,54.7682,-101.865,53.44,94,100,8.05,CA,1690401733
239,macau,22.2006,113.5461,90.86,70,0,6.91,MO,1690401628
240,hammerfest,70.6634,23.6821,55.85,71,75,10.36,NO,1690401733
241,yanam,16.7333,82.2167,75.76,94,100,9.84,IN,1690401734
242,petropavlovsk-kamchatsky,53.0452,158.6483,57.79,94,0,4.47,RU,1690401735
243,namibe,-15.1961,12.1522,63.63,83,97,7.07,AO,1690401735
244,pangody,65.85,74.4859,68.95,63,94,7.27,RU,1690401735
245,barah,13.7,30.3667,80.47,65,98,14.79,SD,1690401736
246,kralendijk,12.15,-68.2667,81.79,85,100,18.95,BQ,1690401736
247,mount evelyn,-37.7833,145.3833,43.52,97,15,3.56,AU,1690401736
248,chios,38.3678,26.1358,83.66,57,56,7.96,GR,1690401736
249,colesberg,-30.72,25.0972,55.89,62,100,20.36,ZA,1690401737
250,buchanan,5.8808,-10.0467,76.41,91,71,7.85,LR,1690401737
251,amga,60.8953,131.9608,56.05,81,97,3.31,RU,1690401737
252,igarka,67.4667,86.5833,63.81,88,1,6.73,RU,1690401737
253,bonthe,7.5264,-12.505,76.8,91,72,8.61,SL,1690401737
254,carnarvon,-24.8667,113.6333,60.46,59,29,16.42,AU,1690401738
255,san andres,12.5847,-81.7006,87.82,70,20,14.97,CO,1690401445
256,black river,18.0264,-77.8487,87.93,62,100,8.88,JM,1690401738
257,salinas,36.6777,-121.6555,91.0,63,0,11.5,US,1690401538
258,rye,40.9807,-73.6837,91.35,60,40,0.0,US,1690401606
259,padang,-0.9492,100.3543,77.13,85,100,3.18,ID,1690401739
260,ipsala,40.9212,26.3827,82.2,57,20,5.84,TR,1690401739
261,horezu,45.15,24.0167,64.85,85,89,4.54,RO,1690401740
262,codrington,-38.2667,141.9667,44.96,81,5,12.28,AU,1690401740
263,zubtsov,56.1753,34.5894,58.77,97,28,5.01,RU,1690401740
264,katsuren-haebaru,26.3369,127.8719,83.17,91,100,13.8,JP,1690401741
265,salekhard,66.53,66.6019,61.02,93,85,15.75,RU,1690401741
266,al wajh,26.2455,36.4525,87.75,79,0,4.61,SA,1690401714
267,jiuquan,39.7432,98.5174,77.07,31,100,3.38,CN,1690401741
268,souillac,-20.5167,57.5167,68.38,94,20,3.44,MU,1690401741
269,luau,-10.7073,22.2247,68.0,31,0,2.86,AO,1690401742
270,irara,-12.05,-38.7667,76.68,60,78,11.61,BR,1690401742
271,arar,30.9753,41.0381,98.62,8,0,3.44,SA,1690401742
272,prainha,-1.8,-53.48,89.06,50,55,4.05,BR,1690401742
273,ghat,24.9647,10.1728,94.82,9,0,9.86,LY,1690401742
274,palikir - national government center,6.9248,158.1611,82.08,74,100,7.52,FM,1690401563
275,christchurch,-43.5333,172.6333,42.94,76,20,5.75,NZ,1690401562
276,isafjordur,66.0755,-23.124,46.94,82,83,10.98,IS,1690401743
277,saint-leu,-21.15,55.2833,67.06,93,22,11.95,RE,1690401743
278,sychevka,55.8252,34.2736,58.78,95,15,5.44,RU,1690401744
279,pandan,14.0453,124.1694,81.1,83,100,13.22,PH,1690401744
280,ceret,42.4853,2.748,75.09,61,86,4.47,FR,1690401744
281,enkoping,59.6361,17.0777,62.46,69,79,5.59,SE,1690401744
282,grantsville,40.5999,-112.4644,95.95,32,40,16.11,US,1690401744
283,aginskoye,51.1,114.53,54.97,94,11,3.85,RU,1690401608
284,dubrovytsya,51.5744,26.565,61.34,97,100,6.4,UA,1690401745
285,shush,32.1942,48.2436,102.07,10,0,13.76,IR,1690401745
286,urangan,-25.3,152.9,65.55,63,73,13.24,AU,1690401745
287,alofi,-19.0595,-169.9187,67.89,94,79,0.0,NU,1690401745
288,manokwari,-0.8667,134.0833,78.15,79,42,3.04,ID,1690401746
289,izumo,35.3667,132.7667,76.95,89,0,2.68,JP,1690401746
290,balugaon,20.1667,85.1,79.68,93,99,5.41,IN,1690401746
291,langepas,61.2544,75.2124,59.05,98,80,4.83,RU,1690401746
292,pacific grove,36.6177,-121.9166,79.39,84,34,8.01,US,1690401746
293,buala,-8.145,159.5921,79.5,86,99,4.59,SB,1690401506
294,longgang,37.6508,120.3286,77.59,85,100,8.01,CN,1690401746
295,coquimbo,-29.9533,-71.3436,58.73,82,100,10.36,CL,1690401747
296,gamba,-2.65,10.0,70.52,93,49,7.18,GA,1690401747
297,mikhaylov,54.2292,39.0186,67.98,87,38,7.02,RU,1690401747
298,kasongo-lunda,-6.4667,16.8167,77.29,39,5,1.43,CD,1690401522
299,palencia,42.4167,-4.5,78.8,41,0,4.5,ES,1690401748
300,santo andre,-23.6639,-46.5383,78.85,38,0,9.22,BR,1690401598
301,nadi,-17.8,177.4167,68.0,94,75,6.91,FJ,1690401547
302,iwanai,42.9744,140.5089,70.88,90,100,4.29,JP,1690401748
303,nyrob,60.733,56.7202,53.46,91,26,1.32,RU,1690401748
304,urucara,-2.5364,-57.76,97.66,28,3,3.96,BR,1690401749
305,sisimiut,66.9395,-53.6735,45.68,78,53,6.96,GL,1690401749
306,changling,44.2653,124.0005,72.0,62,99,3.0,CN,1690401749
307,beau vallon,-20.4189,57.6953,70.21,94,20,3.44,MU,1690401640
308,neftcala,39.3742,49.2472,77.14,71,1,4.94,AZ,1690401749
309,st. john's,47.5649,-52.7093,83.59,42,75,16.11,CA,1690401539
310,xiaoshi,41.2971,124.1209,71.28,98,47,4.99,CN,1690401749
311,uturoa,-16.7333,-151.4333,77.97,84,40,9.04,PF,1690401750
312,queenstown,-31.8976,26.8753,56.97,59,99,6.35,ZA,1690401519
313,lucas,41.6501,-83.6666,72.18,96,100,14.97,US,1690401750
314,martapura,-3.4167,114.85,71.69,100,51,2.3,ID,1690401750
315,fort mcmurray,56.7268,-111.381,65.79,59,100,11.5,CA,1690401648
316,kirakira,-10.4544,161.9205,78.53,90,82,9.75,SB,1690401750
317,buka,40.8108,69.1986,82.6,16,0,7.94,UZ,1690401751
318,kirovskiy,45.0917,133.5136,68.59,90,44,2.98,RU,1690401751
